"ASV","SpearmanRho","pValue","Occurrence","OccurrencePct","Kingdom","Phylum","Class","Order","Family","Genus","Species","CalcifierGeneral","CalcifierLarval","CalcifierAdult","StructureLarval","StructureAdult","MineralForm","PlanktonicLifeHistory","Removal","Description"
"2447",0.173631844323054,0.12348883094052,4,5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus jobei","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"835",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Euchaetidae","Euchaeta","Euchaeta marina","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"1038",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Candaciidae","Candacia","Candacia curta","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"1221",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Mollusca","Gastropoda","Nudibranchia","Glaucidae","Hermissenda","Hermissenda opalescens","Variable","Variable","No","External shell","None","Aragonite","Meroplanktonic","No","Shell-less sea slugs"
"1885",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"1964",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"2427",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"2499",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Copepoda","Poecilostomatoida","Oncaeidae","Oncaea","Oncaea sp.","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Parasitic or predatory copepods"
"2668",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora villosa","Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"2736",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanus pacificus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"2853",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Metridinidae","Pleuromamma","Pleuromamma borealis","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"3360",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora villosa","Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"3424",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Bryozoa","Gymnolaemata","Cheilostomatida","Membraniporidae","Membranipora","Membranipora villosa","Yes","Yes","Yes","External shell","External shell","Calcite","Meroplanktonic","No","Encrusting bryozoans"
"3482",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Calocalanidae","Calocalanus",NA,"Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"3911",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"4000",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanus pacificus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"4189",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Mollusca","Gastropoda","Pteropoda","Cliidae","Clio","Clio pyramidata","Yes","Yes","Yes","External shell","External shell","Aragonite","Holoplanktonic","No","Sea butterflies"
"4446",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"4661",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Echinodermata","Ophiuroidea","Amphilepidida","Ophiocomidae",NA,NA,"Yes","Yes","Yes","Internal skeleton","Internal skeleton","Calcite","Meroplanktonic","No","Brittle stars"
"4875",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Paracalanidae","Paracalanus","Paracalanus tropicus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"5274",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Annelida","Polychaeta","Phyllodocida","Sigalionidae","Sthenelanella","Sthenelanella uniformis","No","No","No","None","None","None","Benthic + Meroplanktonic","No","Active marine polychaetes"
"5698",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Hansarsia","Hansarsia difficilis","Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Krill"
"5699",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Mollusca","Gastropoda","Littorinimorpha","Eulimidae","Melanella","Melanella thersites","Yes","Yes","Yes","External shell","External shell","Aragonite/Calcite","Meroplanktonic","No","Periwinkles and related snails"
"5848",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Parophrys","Parophrys vetulus","No","No","No","None","None","None","Meroplanktonic","No","Flatfishes (flounders, soles, halibut)"
"6223",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"6224",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Metridinidae",NA,NA,"Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"6225",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Cnidaria","Hydrozoa","Leptothecata","Obeliidae",NA,NA,"No","No","No","None","None","None","Benthic + Holoplanktonic","No","Hydroids"
"6668",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Mollusca","Bivalvia","Adapedonta","Hiatellidae","Panopea","Panopea generosa","Yes","Yes","Yes","External shell","External shell","Aragonite/Calcite","Meroplanktonic","No","Burrowing clams"
"6927",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Malacostraca","Decapoda","Pinnotheridae","Pinnixa","Pinnixa occidentalis","Variable","No","Variable","None","Exoskeleton","Calcite","Meroplanktonic","No","Crabs, lobsters, shrimp"
"6928",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Mollusca","Gastropoda","Pteropoda","Limacinidae",NA,NA,"Yes","Yes","Yes","External shell","External shell","Aragonite","Holoplanktonic","No","Sea butterflies"
"6930",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Malacostraca","Decapoda","Paguridae","Pagurus","Pagurus sp. 10BIOBC_01170","Variable","No","Variable","None","Exoskeleton","Calcite","Meroplanktonic","No","Crabs, lobsters, shrimp"
"7153",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Eucalanidae","Eucalanus","Eucalanus californicus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"7437",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Heterorhabdidae",NA,NA,"Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"7629",0.172961473048369,0.124966910019696,1,1.25,"Eukaryota","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","Crepipatella","Crepipatella lingulata","Yes","Yes","Yes","External shell","External shell","Aragonite/Calcite","Meroplanktonic","No","Periwinkles and related snails"
"177",0.172265324902883,0.126516100215983,55,68.75,"Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Hansarsia","Hansarsia difficilis","Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Krill"
"353",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"440",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"475",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"504",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"559",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"795",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"1104",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"1562",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"1738",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"2136",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"2525",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"2610",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Malacostraca","Decapoda","Cancridae","Romaleon","Romaleon antennarium","Variable","No","Variable","None","Exoskeleton","Calcite","Meroplanktonic","No","Crabs, lobsters, shrimp"
"2774",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"2814",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Macrochoecilla","Macrochoecilla macrocheira","Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Ostracods (seed shrimp)"
"2844",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Scolecitrichidae","Scolecithricella","Scolecithricella dentata","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"3090",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera",NA,"Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"3246",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae","Labidocera","Labidocera trispinosa","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"3297",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Chordata","Actinopteri","Aulopiformes","Synodontidae","Synodus","Synodus lucioceps","No","No","No","None","None","None","Meroplanktonic","No","Lizardfish and deep-sea teleosts"
"3351",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Mollusca","Gastropoda","Nudibranchia","Glaucidae","Hermissenda","Hermissenda opalescens","Variable","Variable","No","External shell","None","Aragonite","Meroplanktonic","No","Shell-less sea slugs"
"3656",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Pontellidae",NA,NA,"Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"3826",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Mollusca","Gastropoda","Littorinimorpha","Atlantidae","Atlanta","Atlanta sp. USNM IZ 1230636","Yes","Yes","Yes","External shell","External shell","Aragonite/Calcite","Meroplanktonic","No","Periwinkles and related snails"
"3897",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Malacostraca","Decapoda","Pinnotheridae","Pinnixa","Pinnixa franciscana","Variable","No","Variable","None","Exoskeleton","Calcite","Meroplanktonic","No","Crabs, lobsters, shrimp"
"4252",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Malacostraca","Decapoda","Cancridae","Metacarcinus","Metacarcinus gracilis","Variable","No","Variable","None","Exoskeleton","Calcite","Meroplanktonic","No","Crabs, lobsters, shrimp"
"4338",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Nyctiphanes","Nyctiphanes simplex","Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Krill"
"5367",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Malacostraca","Decapoda","Hippidae","Emerita","Emerita analoga","Variable","No","Variable","None","Exoskeleton","Calcite","Meroplanktonic","No","Crabs, lobsters, shrimp"
"5368",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae",NA,NA,"Yes","Yes","Yes","Internal skeleton","Internal skeleton","Calcite","Meroplanktonic","No","Brittle stars"
"5525",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Copepoda","Poecilostomatoida","Oncaeidae","Oncaea","Oncaea sp.","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Parasitic or predatory copepods"
"5810",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Macrochoecilla","Macrochoecilla macrocheira","Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Ostracods (seed shrimp)"
"6371",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Mikroconchoecia","Mikroconchoecia sp. USNM IZ 1448470","Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Ostracods (seed shrimp)"
"6372",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Proceroecia","Proceroecia procera","Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Ostracods (seed shrimp)"
"6605",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Proceroecia","Proceroecia procera","Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Ostracods (seed shrimp)"
"6868",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Annelida","Polychaeta","Phyllodocida","Phyllodocidae",NA,NA,"No","No","No","None","None","None","Benthic + Meroplanktonic","No","Active marine polychaetes"
"6871",0.168089318877992,0.1361187583431,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Acartiidae","Acartia","Acartia californiensis","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"59",0.167964179195697,0.136414799630005,73,91.25,"Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Hansarsia","Hansarsia difficilis","Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Krill"
"2605",0.16745619874302,0.137621527829003,4,5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus jobei","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"789",0.166127732814112,0.140815492032204,16,20,"Eukaryota","Arthropoda","Copepoda","Calanoida","Metridinidae","Pleuromamma","Pleuromamma abdominalis","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"261",0.164595437149648,0.144568557647869,28,35,"Eukaryota","Arthropoda","Copepoda","Calanoida","Calocalanidae","Calocalanus",NA,"Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"76",0.163758392707831,0.146650228709422,74,92.5,"Eukaryota","Arthropoda","Copepoda","Calanoida","Metridinidae","Pleuromamma","Pleuromamma borealis","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"459",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Mollusca","Gastropoda","Nudibranchia","Glaucidae","Hermissenda","Hermissenda opalescens","Variable","Variable","No","External shell","None","Aragonite","Meroplanktonic","No","Shell-less sea slugs"
"1132",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Malacostraca","Decapoda","Hippolytidae","Lysmata","Lysmata californica","Variable","No","Variable","None","Exoskeleton","Calcite","Meroplanktonic","No","Crabs, lobsters, shrimp"
"1379",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Calanidae","Calanus","Calanus pacificus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"1465",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Copepoda","Poecilostomatoida","Oncaeidae","Oncaea","Oncaea sp.","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Parasitic or predatory copepods"
"1933",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Nannobrachium","Nannobrachium ritteri","No","No","No","None","None","None","Meroplanktonic","No","Lanternfishes"
"2331",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Malacostraca","Decapoda","Pinnotheridae","Pinnixa","Pinnixa franciscana","Variable","No","Variable","None","Exoskeleton","Calcite","Meroplanktonic","No","Crabs, lobsters, shrimp"
"2466",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Nannobrachium","Nannobrachium ritteri","No","No","No","None","None","None","Meroplanktonic","No","Lanternfishes"
"2507",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Ostracoda","Halocyprida","Halocyprididae","Discoconchoecia",NA,"Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Ostracods (seed shrimp)"
"2562",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Malacostraca","Decapoda","Hippolytidae","Lysmata",NA,"Variable","No","Variable","None","Exoskeleton","Calcite","Meroplanktonic","No","Crabs, lobsters, shrimp"
"3170",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Copepoda","Poecilostomatoida","Oncaeidae","Oncaea","Oncaea sp.","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Parasitic or predatory copepods"
"3377",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Copepoda","Poecilostomatoida","Oncaeidae","Oncaea","Oncaea sp.","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Parasitic or predatory copepods"
"3496",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Echinodermata","Holothuroidea","Dendrochirotida","Psolidae","Psolus",NA,"Yes","Yes","Yes","Internal skeleton","Internal skeleton","Calcite","Meroplanktonic","No","Sea cucumbers"
"3559",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae",NA,NA,"Yes","Yes","Yes","Internal skeleton","Internal skeleton","Calcite","Meroplanktonic","No","Brittle stars"
"3934",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Copepoda","Poecilostomatoida","Oncaeidae","Oncaea","Oncaea sp.","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Parasitic or predatory copepods"
"4106",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Echinodermata","Ophiuroidea","Amphilepidida","Amphiuridae","Amphiodia",NA,"Yes","Yes","Yes","Internal skeleton","Internal skeleton","Calcite","Meroplanktonic","No","Brittle stars"
"4296",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Annelida","Polychaeta","Chaetopteridae","Chaetopteridae","Phyllochaetopterus","Phyllochaetopterus sp. 5 JM_2017","No","No","No","None","None","None","Benthic + Meroplanktonic","No","Tube-dwelling marine polychaetes"
"4297",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus jobei","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"4580",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Eucalanidae","Rhincalanus",NA,"Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"4701",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus arcuicornis","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"4904",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Hansarsia",NA,"Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Krill"
"5018",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Malacostraca","Decapoda","Munididae","Pleuroncodes","Pleuroncodes planipes","Variable","No","Variable","None","Exoskeleton","Calcite","Meroplanktonic","No","Crabs, lobsters, shrimp"
"5604",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Copepoda","Poecilostomatoida","Oncaeidae","Oncaea","Oncaea sp.","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Parasitic or predatory copepods"
"5605",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Clausocalanidae",NA,NA,"Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"5606",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Euchaetidae","Euchaeta","Euchaeta marina","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"5740",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Malacostraca","Decapoda","Munididae","Pleuroncodes","Pleuroncodes planipes","Variable","No","Variable","None","Exoskeleton","Calcite","Meroplanktonic","No","Crabs, lobsters, shrimp"
"5904",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae",NA,NA,"Variable","No","Variable","None","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Krill"
"6288",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Calocalanidae","Calocalanus",NA,"Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"6764",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Malacostraca","Decapoda","Hippolytidae",NA,NA,"Variable","No","Variable","None","Exoskeleton","Calcite","Meroplanktonic","No","Crabs, lobsters, shrimp"
"6765",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Mollusca","Gastropoda","Pteropoda","Limacinidae",NA,NA,"Yes","Yes","Yes","External shell","External shell","Aragonite","Holoplanktonic","No","Sea butterflies"
"7249",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Echinodermata","Ophiuroidea","Amphilepidida","Ophiotrichidae","Ophiothrix","Ophiothrix spiculata","Yes","Yes","Yes","Internal skeleton","Internal skeleton","Calcite","Meroplanktonic","No","Brittle stars"
"7503",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Chaetognatha","Sagittoidea","Aphragmophora","Sagittidae","Flaccisagitta",NA,"No","No","No","None","None","None","Holoplanktonic","No","Chaetognaths (arrow worms)"
"7505",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Calocalanidae","Calocalanus",NA,"Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
"7665",0.163217164707616,0.148008143528415,1,1.25,"Eukaryota","Arthropoda","Copepoda","Calanoida","Paracalanidae","Paracalanus","Paracalanus tropicus","Variable","Variable","Variable","Exoskeleton","Exoskeleton","Chitin + Calcium","Holoplanktonic","No","Copepods"
